,Date,Close,Bitcoins_in_circulation,BlockSize,TransactionsPerBlock
374,21-Jan-11,0.44,5193400.0,10.0,5.0
375,23-Jan-11,0.44,5210100.0,10.0,6.0
376,25-Jan-11,0.43,5226900.0,10.0,13.0
377,27-Jan-11,0.42,5244650.0,10.0,5.0
378,29-Jan-11,0.45,5260300.0,10.0,5.0
379,31-Jan-11,0.5,5276000.0,10.0,4.0
380,2-Feb-11,0.84,5293050.0,10.0,4.0
381,4-Feb-11,0.88,5310000.0,10.0,5.0
382,6-Feb-11,0.92,5327900.0,10.0,12.0
383,8-Feb-11,0.9,5346800.0,10.0,9.0
384,10-Feb-11,1.1,5365400.0,10.0,10.0
385,12-Feb-11,1.09,5384450.0,10.0,9.0
386,14-Feb-11,1.08,5403950.0,10.0,10.0
387,16-Feb-11,1.05,5426100.0,10.0,10.0
388,18-Feb-11,1.05,5448900.0,10.0,9.0
389,20-Feb-11,0.95,5467100.0,10.0,9.0
390,22-Feb-11,0.87,5487000.0,10.0,8.0
391,24-Feb-11,0.95,5509850.0,10.0,12.0
392,26-Feb-11,0.99,5533500.0,10.0,16.0
393,28-Feb-11,0.95,5555400.0,10.0,7.0
394,2-Mar-11,0.95,5570350.0,10.0,9.0
395,4-Mar-11,0.94,5589450.0,10.0,11.0
396,6-Mar-11,0.91,5616200.0,10.0,15.0
397,8-Mar-11,0.91,5637600.0,10.0,20.0
398,10-Mar-11,0.87,5651450.0,10.0,25.0
399,12-Mar-11,0.92,5665050.0,10.0,24.0
400,14-Mar-11,0.9,5676850.0,10.0,28.0
401,16-Mar-11,0.89,5689000.0,10.0,47.0
402,18-Mar-11,0.85,5702450.0,10.0,29.0
403,20-Mar-11,0.79,5714150.0,10.0,12.0
404,22-Mar-11,0.8,5728200.0,12.0,14.0
405,24-Mar-11,0.9,5743200.0,13.0,18.0
406,26-Mar-11,0.91,5758350.0,14.0,10.0
407,28-Mar-11,0.86,5774150.0,15.0,9.0
408,30-Mar-11,0.8,5789650.0,15.0,12.0
409,1-Apr-11,0.8,5808500.0,15.0,12.0
410,3-Apr-11,0.8,5826300.0,15.0,10.0
411,5-Apr-11,0.71,5845400.0,15.0,9.0
